#Table1
labels,true_labels,pred_labels,label_diffs,objID,ra,dec,r,r0,g_z0,u_g,g_z,g_r,g_i,r_i,r_z,distance
1,1,1,0,1237661055281725545,49.5570253856624,41.4615890520314,20.47499,20.07256,1.268461,2.776468,1.627743,1.02508,1.59482,0.5697403,0.602663,17.784951447904
1,1,1,0,1237661059574465017,50.336836986607,41.46005973571,13.7975,13.40939,1.573306,2.188169,1.919808,1.023425,1.494902,0.4714766,0.8963833,17.8217774962118
0,0,0,0,1237661059574203129,49.6198055819706,41.6826848521742,19.011,18.62245,1.925223,1.927773,2.27211,1.325798,1.867575,0.5417767,0.946312,17.8512865648421
1,1,1,0,1237661122388034911,49.7350072068284,41.2599008235858,19.48338,19.0634,0.9628888,2.493378,1.337837,0.7801914,1.210688,0.4304962,0.5576458,17.9334168344435
1,1,1,0,1237661059574203755,49.6991149984011,41.74790585261,17.62265,17.23509,1.26318,2.090137,1.609179,0.8768482,1.29512,0.418272,0.7323303,17.9378272820749
0,0,0,0,1237661055281660697,49.5475110283826,41.5225041803076,19.03877,18.62934,2.045205,1.858179,2.410738,1.334682,1.89757,0.5628872,1.076056,17.9424183179561
1,1,1,0,1237661122388033900,49.8126462271335,41.2312987275339,18.4267,18.03582,0.8989462,5.828825,1.247921,1.014956,1.308264,0.2933083,0.2329655,17.9531279238305
1,1,1,0,1237661122388034216,49.7177473516028,41.2675578337069,17.35186,16.93106,1.078437,0.2259464,1.454119,0.8429241,1.328384,0.4854603,0.6111946,17.9794046829873
0,0,1,-1,1237661055281661552,49.5411265641304,41.5389351099106,17.08435,16.67392,1.328826,1.635536,1.69525,0.9603004,1.370968,0.4106674,0.7349491,18.2838790850961
1,1,1,0,1237661122387969336,49.6693128398208,41.2867238751049,18.56588,18.1436,0.9885336,1.705036,1.365532,0.8137321,1.170422,0.3566895,0.5517998,18.4483812298347
0,0,0,0,1237661055281726833,49.5391469119783,41.4577011981716,18.19508,17.7938,2.150528,2.887321,2.50878,1.514282,2.115633,0.6013508,0.9944973,18.6175868393677
1,1,1,0,1237661055281726863,49.5501794590082,41.4233420002467,17.63637,17.24109,1.209314,1.867548,1.56221,0.8659515,1.294933,0.4289818,0.6962585,18.6229961120206
0,0,0,0,1237661055281660352,49.5318682312067,41.5225648610984,17.70627,17.29854,1.404669,1.618532,1.768684,0.9390621,1.463348,0.5242863,0.8296223,18.6449361656024
0,0,0,0,1237661059574202930,49.5907237806464,41.6753043131353,19.52824,19.13907,1.619877,2.003326,1.967318,1.063726,1.595032,0.5313053,0.9035912,18.7046347232306
1,1,1,0,1237661122387968730,49.6152258885157,41.3213174238366,16.6175,16.21293,1.41521,1.95513,1.776405,0.9358177,1.428982,0.4931641,0.8405876,18.8375721461751
1,1,1,0,1237661122387968730,49.6152258885157,41.3213174238366,16.6175,16.21293,1.41521,1.95513,1.776405,0.9358177,1.428982,0.4931641,0.8405876,18.8375721461751
1,1,1,0,1237661055281661267,49.5306570322222,41.5538974510229,20.88006,20.47071,0.7480791,1.351978,1.113539,0.599371,1.059216,0.4598446,0.5141678,18.8458216069835
1,1,1,0,1237661059574203026,49.6168532946292,41.7091116790088,19.19407,18.81089,1.543972,3.7596,1.886065,0.1330585,1.706509,1.57345,1.753006,18.9014185944071
1,1,1,0,1237661055281660431,49.5486037358835,41.6168429144839,18.38352,17.9762,1.175718,2.00297,1.539364,0.8962555,1.346228,0.4499722,0.6431084,18.9243880991345
0,0,0,0,1237661055281726871,49.5511297109454,41.4042423566477,18.29836,17.90637,1.630137,1.934937,1.980097,1.042923,1.581417,0.5384941,0.9371738,18.9484612261371
1,1,1,0,1237661122387969275,49.6382972499663,41.2976970974567,18.71243,18.29549,0.8603378,1.354212,1.232567,0.75597,1.167229,0.4112587,0.4765968,18.9647219588562
0,0,0,0,1237661055281660354,49.5235184197161,41.5182228769557,18.18948,17.7831,1.183838,1.437931,1.546644,0.7836628,1.252424,0.4687614,0.7629814,19.0145218617789
0,0,0,0,1237661059574465263,50.2855776364297,41.3230425309137,16.23157,15.85966,1.42196,1.448732,1.753997,1.096281,1.454597,0.3583155,0.6577158,19.0400680308407
0,0,0,0,1237661055281726898,49.5669356580203,41.3687948947348,18.43174,18.04144,1.574856,1.912535,1.923306,1.131836,1.59425,0.4624138,0.7914696,19.1502236905399
1,1,1,0,1237661122387968365,49.6241449104646,41.3026729212866,21.25951,20.84616,0.6102508,1.207663,0.9792824,0.7868748,1.212286,0.4254112,0.1924076,19.2380154953948
1,1,1,0,1237661059574202928,49.5750012566803,41.6753256012749,14.98746,14.59876,1.268078,1.596935,1.615104,0.8549957,1.273089,0.4180937,0.760108,19.3112431060505
1,1,1,0,1237661055281661215,49.5244020175459,41.5813582968019,16.32676,15.91833,1.39803,2.016371,1.76267,0.971529,1.424766,0.4532366,0.7911406,19.4002972505313
1,1,1,0,1237661055281661215,49.5244020175459,41.5813582968019,16.32676,15.91833,1.39803,2.016371,1.76267,0.971529,1.424766,0.4532366,0.7911406,19.4002972505313
0,0,0,0,1237661059574465270,50.2558086297081,41.285926984341,15.86735,15.50187,0.903991,2.032755,1.230284,0.8027582,1.086218,0.2834597,0.4275255,19.4764328734385
1,1,1,0,1237661055281660366,49.5125725288046,41.5127651899085,20.52712,20.12309,1.076722,1.45319,1.437424,0.8511295,1.238743,0.3876133,0.5862942,19.5046287429384
1,1,1,0,1237670960021569639,50.0301282412048,41.8328072051585,14.10052,13.68576,1.470078,2.012901,1.840368,0.9757557,1.490275,0.5145197,0.8646126,19.5434339908819
1,1,1,0,1237661055281923151,50.1414808232528,41.2218467085331,16.49442,16.13778,1.37242,1.796751,1.690829,0.9069672,1.340748,0.4337807,0.7838621,19.5527299562725
1,1,1,0,1237661055818793134,50.3802762257035,41.5474536325146,16.2903,15.90471,1.307011,1.813486,1.651258,0.8859196,1.32501,0.4390907,0.7653379,19.583407674779
1,1,1,0,1237661055281726374,49.5231929662629,41.4354812532149,19.06034,18.66689,1.156438,1.129246,1.5077,0.9235191,1.268042,0.3445225,0.5841808,19.6001303691627
0,0,0,0,1237661055281727082,49.5246271241854,41.4305177152363,19.17819,18.78555,0.9257276,1.156378,1.276268,0.722374,1.119734,0.3973598,0.553894,19.6113344236095
0,0,0,0,1237661055281660368,49.5093532320236,41.5134711427494,21.59679,21.19377,0.02017042,1.211895,0.3799782,-0.0686264,-0.8322697,-0.7636433,0.4486046,19.6491611619386
0,0,0,0,1237661122387969192,49.5810512115398,41.3339013720838,19.05031,18.65397,1.558939,3.723814,1.912785,1.102652,1.592049,0.489397,0.810133,19.6526707552864
1,1,1,0,1237661059574204563,49.5790523097195,41.6935962781932,19.97139,19.5869,0.3425246,4.4687,0.6857929,0.7036018,1.016155,0.3125534,-0.01780891,19.7321726107948
0,0,0,0,1237661083199210106,49.6683660022768,41.2580136966808,19.2536,18.81448,1.469738,1.359491,1.861771,1.08403,1.891497,0.8074665,0.7777405,19.7797894278975
0,0,0,0,1237661055281660355,49.5062354685874,41.5123497888246,19.29245,18.89074,1.390249,1.387699,1.748886,0.9465752,1.390194,0.4436188,0.8023109,19.7894459512692
1,1,1,0,1237661059574204583,49.639573521801,41.7521735266186,18.369,17.98439,1.145921,2.005714,1.489292,0.8876781,1.290842,0.4031639,0.601614,19.8861892191192
1,1,1,0,1237661055281661504,49.50778075705,41.5577737369803,20.4072,20.0012,1.150768,1.625053,1.513237,0.9719276,1.332491,0.3605633,0.5413094,19.8944421262089
1,1,1,0,1237661055818531427,49.7268858637923,41.8030385429612,15.50165,15.10497,1.493583,2.122885,1.847733,0.9896717,1.488865,0.4991932,0.8580608,19.9931651874253
0,0,0,0,1237661059574203660,49.665099654597,41.7720034035862,17.37716,16.98797,0.9037797,1.212706,1.251247,0.6154137,1.050488,0.4350739,0.6358337,20.018450960135
1,1,1,0,1237661055818793331,50.3925238215328,41.5061613782787,14.03413,13.64203,1.767864,1.991905,2.11793,1.074134,1.629095,0.5549612,1.043797,20.0354620791863
1,1,1,0,1237661083199276043,49.7268696113057,41.2224565446657,18.27106,17.82822,-0.04449952,7.701906,0.3508587,1.226746,0.1127319,-1.114014,-0.8758869,20.0521633198163
1,1,1,0,1237661083199209883,49.6180139196267,41.2859445845986,18.64474,18.2236,1.143176,3.259039,1.519157,0.8928242,1.13133,0.2385063,0.6263332,20.1145529705136
1,1,1,0,1237661055281660332,49.498157446947,41.5203688611731,13.58597,13.18582,1.530978,2.0746,1.888221,0.9962645,1.493053,0.496789,0.8919563,20.1557977796226
1,1,1,0,1237661083199210512,49.631956124873,41.2740581753394,14.91702,14.48598,1.469363,1.99903,1.854183,0.9751854,1.466746,0.4915609,0.8789978,20.1595998265812
1,1,1,0,1237661055281660253,49.5073308611243,41.5926931133879,15.17137,14.7658,1.711991,1.893782,2.074067,1.106958,1.690604,0.5836458,0.9671087,20.2977105616823
0,0,0,0,1237661059574465887,50.2962540829001,41.298821003556,17.23161,16.86538,1.290207,2.240297,1.61717,1.012762,1.392101,0.3793392,0.6044083,20.3163275879825
0,0,0,0,1237661083199276127,49.7513240178156,41.2058174283021,18.5749,18.14674,1.472551,1.998825,1.854799,0.9731255,1.516567,0.5434418,0.8816738,20.428848047293
1,1,1,0,1237661055281857673,49.979897820705,41.1726324612579,16.49719,16.1679,1.269485,1.818489,1.563464,0.8557739,1.259991,0.4042168,0.7076902,20.482715360875
1,1,1,0,1237661055281660630,49.4898628885605,41.4973067696004,14.69813,14.30484,1.436258,1.997944,1.787376,0.9457808,1.428069,0.4822884,0.8415956,20.5492324353883
0,0,0,0,1237661083199210520,49.6309849597321,41.2656828080529,19.32612,18.88937,1.260476,1.824398,1.650394,0.9311237,1.360044,0.4289207,0.7192707,20.5509918796688
0,0,0,0,1237661055281727219,49.5081497348617,41.4068642573042,19.18396,18.79973,1.827515,1.617607,2.170547,1.181578,1.76165,0.5800724,0.9889698,20.7240316509157
0,0,0,0,1237661083199275906,49.6875624830232,41.2260099896836,18.01791,17.5646,0.5416043,1.040514,0.9463158,0.4097385,0.7613773,0.3516388,0.5365772,20.8053936177999
1,1,1,0,1237661083199211225,49.5820192387744,41.2942754398326,19.35369,18.94313,1.510954,2.178457,1.877493,0.9437923,0.9843578,0.04056549,0.9337006,21.0176046238297
0,0,0,0,1237661055281660363,49.4782706585721,41.5174558758503,20.63538,20.24273,2.518838,1.979567,2.869387,1.668039,2.289743,0.6217041,1.201347,21.0466004164103
1,1,1,0,1237661122387903518,49.5183697511162,41.3697430176767,16.87384,16.49272,1.298599,1.658012,1.638861,0.9026318,1.356438,0.4538059,0.7362289,21.0983307083874
0,0,0,0,1237661122387903799,49.513168881278,41.3783097798439,19.12683,18.74566,1.69786,1.423109,2.038162,1.110929,1.696451,0.5855217,0.9272327,21.1087485356406
0,0,0,0,1237661055281661084,49.4977702126779,41.6188440534774,19.14728,18.74504,2.656663,2.63018,3.015774,1.925604,2.623369,0.6977654,1.09017,21.1282407149793
0,0,0,0,1237661055281922625,50.2217795302807,41.2257344379433,15.75863,15.40834,0.7408831,1.64344,1.053614,0.6633434,0.9928265,0.329483,0.3902702,21.2297416124072
0,0,0,0,1237661055281662211,49.4815217405749,41.4340326355382,19.52432,19.14241,2.08256,2.504612,2.423527,1.477386,2.063356,0.5859699,0.9461403,21.4437249972157
1,1,1,0,1237661083199209781,49.5957549984616,41.2688988395178,15.38928,14.96017,1.355333,2.043249,1.738431,0.915926,1.371466,0.4555397,0.822505,21.5459594642657
0,0,0,0,1237661055281661666,49.485371436118,41.4154121469832,18.88833,18.50789,1.92521,1.687677,2.264864,1.280811,1.881798,0.6009865,0.9840527,21.5545097878748
0,0,0,0,1237661122387903465,49.5006249474087,41.379321938645,18.21156,17.83289,1.604304,2.066359,1.942371,1.078316,1.574192,0.4958763,0.8640556,21.6081634796466
1,1,1,0,1237661055281662019,49.4615210525463,41.5220093296147,19.21583,18.82697,1.369076,1.788113,1.71624,0.9854679,1.370699,0.385231,0.730772,21.8032671824509
1,1,1,0,1237661083199340713,49.8996627467526,41.1511503541778,14.32756,13.9924,1.536383,1.995684,1.835606,0.9442053,1.44271,0.4985046,0.8914003,21.8201311228011
1,1,1,0,1237661059574530716,50.2869381053616,41.2530385705908,15.38101,15.02604,1.423444,1.941515,1.740355,0.9379263,1.402795,0.4648685,0.8024292,21.8651082814017
0,0,0,0,1237661083199145265,49.5268439342167,41.3295268911503,18.77175,18.39146,0.465785,1.152348,0.805294,0.3836575,0.6512833,0.2676258,0.4216366,21.8666806638181
0,0,0,0,1237670458048512961,49.9427904069998,41.8795154436514,17.16523,16.75123,0.5432451,1.354103,0.9128513,0.6176529,0.7512188,0.1335659,0.2951984,21.985624319439
1,1,1,0,1237661055281660551,49.4628396701164,41.4508207228506,13.68613,13.307,1.590416,2.02698,1.928901,0.9883966,1.52095,0.5325537,0.9405041,22.0680920076788
1,1,1,0,1237661083199209709,49.5667122525265,41.2775209694268,18.45231,18.03673,1.217905,1.6362,1.588932,0.8561287,1.295055,0.4389267,0.7328033,22.1880383606949
0,0,0,0,1237661083199210085,49.6282984725789,41.2297381161989,16.77809,16.31684,1.862271,2.810484,2.274058,1.257788,1.834318,0.5765305,1.016271,22.2394153227307
0,0,0,0,1237661055281661473,49.4507796093674,41.5244185292264,18.05545,17.66839,2.009732,1.893843,2.355289,1.288328,1.924288,0.6359596,1.066961,22.2892056319883
0,0,0,0,1237661083199275874,49.8536925506709,41.1475469331591,16.28297,15.92535,0.3214731,1.190844,0.640749,0.4208069,0.5846119,0.163805,0.2199421,22.3298935756429
0,0,0,0,1237661122387902975,49.4777611404324,41.3833231372479,18.50161,18.12733,2.008176,2.810034,2.342325,1.347633,1.967499,0.6198654,0.9946918,22.481224335378
1,1,0,1,1237661083199144664,49.5154139273366,41.3230599188577,16.70314,16.32531,1.541486,2.152695,1.878805,0.9938316,1.495775,0.5019436,0.8849735,22.5073405151565
0,0,0,0,1237661083199144664,49.5154139273366,41.3230599188577,16.70314,16.32531,1.541486,2.152695,1.878805,0.9938316,1.495775,0.5019436,0.8849735,22.5073405151565
0,0,0,0,1237661055281661427,49.4525396601503,41.5851221091196,18.69894,18.30303,1.946624,2.340355,2.300087,1.253277,1.812626,0.5593491,1.04681,22.6062377415923
0,0,0,0,1237661055281661187,49.4421739623854,41.5116662675731,17.45889,17.07613,2.333643,2.733459,2.67536,1.498091,2.227669,0.729578,1.177269,22.6678550751821
0,0,0,0,1237661055281661072,49.4476929976336,41.5750018634696,19.28125,18.88725,2.01184,1.179611,2.363596,1.374626,1.845175,0.4705486,0.9889698,22.7144646860869
1,1,0,1,1237661059574530116,50.4075544221459,41.3578114673567,16.5923,16.21637,1.493412,2.197964,1.829041,0.9854164,1.453777,0.4683609,0.8436251,22.7277719962573
1,1,1,0,1237661122387903824,49.4517635999405,41.4083189109755,19.45683,19.08483,1.201643,1.134291,1.533762,0.9044113,1.24415,0.3397388,0.6293507,23.1255436453126
0,0,0,0,1237661055281661097,49.4317076157181,41.5455785249482,17.76509,17.37852,0.5493342,1.354252,0.8944569,0.5611763,0.8042698,0.2430935,0.3332806,23.2138049554269
1,1,1,0,1237661059574202508,49.5350273421591,41.7543521559441,13.38606,13.01319,1.7251,2.067204,2.057991,1.039588,1.584288,0.5446997,1.018403,23.4594089294794
1,1,1,0,1237661083199275747,49.7798434161085,41.1426340291011,15.09814,14.69629,1.052421,1.350511,1.411182,0.6988964,1.097469,0.3985729,0.712286,23.4649012713481
1,1,1,0,1237661083199144680,49.5028172944523,41.2990947963276,16.05032,15.66976,1.307747,1.815702,1.647505,0.881052,1.303479,0.4224272,0.7664528,23.746662937466
1,1,1,0,1237661083199144680,49.5028172944523,41.2990947963276,16.05032,15.66976,1.307747,1.815702,1.647505,0.881052,1.303479,0.4224272,0.7664528,23.746662937466
0,0,0,0,1237661083199275743,49.7993394162836,41.1325137671338,16.70784,16.32068,1.836882,1.871563,2.182531,1.453463,1.896994,0.443531,0.7290688,23.7809857390159
1,1,1,0,1237661055281661782,49.4284218432391,41.5998779610828,17.32182,16.92683,1.248773,1.870342,1.601402,0.8913841,1.337364,0.4459801,0.7100182,23.8450675816442
1,1,1,0,1237661055281661843,49.4148546953668,41.561150981206,19.06888,18.68379,1.255485,1.231678,1.599281,0.9752827,1.249075,0.2737923,0.6239986,24.0593337992753
1,1,1,0,1237661055281662743,49.4104853605146,41.5182647438377,20.85366,20.47606,1.904131,1.458317,2.241245,0.9517403,1.874462,0.9227219,1.289505,24.0921797390255
0,0,0,0,1237661055281661998,49.4110629445986,41.4748146411013,19.07925,18.70864,2.12269,3.481417,2.45356,1.469416,2.030313,0.5608978,0.9841442,24.1816660550639
0,0,0,0,1237661083199210860,49.6115739039062,41.1970212377981,19.4838,19.00581,0.6270227,1.099449,1.053764,0.6972961,0.9551105,0.2578144,0.3564682,24.2377249241833
0,0,0,0,1237661083199341789,49.9596364870387,41.1071148167986,17.26524,16.94526,1.325616,2.223671,1.611286,0.9656525,1.356205,0.3905525,0.6456337,24.3660873097436
0,0,0,0,1237661060111204991,50.2554087638575,41.8491100481994,17.03628,16.61666,0.4375313,0.6391497,0.8121595,-1.074086,-0.3595514,0.7145348,1.886246,24.4503326650469
0,0,0,0,1237661122388164637,50.0402382592295,41.1110424504092,16.18823,15.86197,0.8269879,1.611179,1.118268,0.6608257,0.9551172,0.2942915,0.4574423,24.4890073805447
1,1,1,0,1237661055818794217,50.4895205180798,41.5521931418354,15.34798,14.94075,1.491176,2.07003,1.854746,0.9827232,1.478887,0.4961634,0.8720226,24.4931411258321
1,1,1,0,1237661059574137359,49.5545783717589,41.8025113837332,17.2465,16.87619,1.090907,1.73312,1.421513,0.7541542,1.047434,0.2932796,0.6673584,24.7085416995888
0,0,0,0,1237661060111270244,50.3783516844226,41.7692572319905,16.74914,16.32389,1.547439,2.148781,1.927097,1.009399,1.502163,0.4927635,0.9176979,24.7149778109166
0,0,0,0,1237661083199145373,49.4486850129999,41.3383619635481,18.74508,18.38209,1.499267,1.254122,1.823336,0.983139,1.460253,0.4771137,0.8401966,24.7367489135681
0,0,0,0,1237661083199210655,49.6089271981223,41.1874693492049,18.48174,18.00409,0.7913657,1.64889,1.217798,0.7493057,0.9949646,0.2456589,0.4684925,24.7624706802827
1,1,1,0,1237661083199145830,49.4316981732861,41.3631918525889,21.16241,20.79845,-0.152984,1.596251,0.1719437,1.731369,1.021391,-0.7099781,-1.559425,24.8497689803925
0,0,0,0,1237661059574530886,50.4668689770366,41.3705401026461,18.0958,17.71999,1.69034,2.605005,2.025856,1.278723,1.768171,0.4894485,0.7471333,24.9105232036676
0,0,0,0,1237661055281661796,49.3924933680465,41.5646964166663,19.34463,18.96269,1.019134,1.545128,1.360119,0.8376503,1.277571,0.4399204,0.5224686,25.0813529528197
0,0,0,0,1237661083199146017,49.4510177499872,41.3201161214212,19.29746,18.9359,1.01369,1.34894,1.336483,0.6728878,1.029243,0.3563557,0.6635952,25.1298304258667
0,0,0,0,1237661055281596077,49.3892567509159,41.5720951555635,19.4436,19.06033,0.5313351,0.9744091,0.8735046,0.42313,0.786005,0.362875,0.4503746,25.28250464016
0,0,0,0,1237661055281596074,49.387826987431,41.5814710521614,19.63632,19.25102,0.6910109,1.020618,1.035004,0.4184704,0.8280163,0.4095459,0.6165333,25.4289489685935
1,1,1,0,1237661059574138014,49.5269787314467,41.7991761650479,15.88972,15.52506,1.52212,2.021513,1.847678,0.9842319,1.461708,0.4774761,0.8634462,25.468542113042
0,0,0,0,1237661055281661403,49.376592902679,41.5364468490637,17.73454,17.36157,0.9378061,1.518801,1.270788,0.6783886,1.094433,0.4160442,0.5923996,25.6475318392428
0,0,0,0,1237661083199144013,49.4070053187422,41.3728592862594,18.02692,17.66354,1.927211,2.818373,2.251625,1.438641,1.686352,0.2477112,0.8129845,25.6907897851616
1,1,1,0,1237661083199144423,49.4273106345572,41.3231237681011,17.73236,17.37307,0.9993353,2.650261,1.320105,0.8196125,1.195669,0.3760567,0.5004921,26.0010800974885
0,0,0,0,1237661083199144027,49.3880968070861,41.3948394450498,24.80204,24.4382,-2.806678,4.289604,-2.481848,-4.456974,1.40727,5.864244,1.975126,26.1028413474507
1,1,1,0,1237661055281659994,49.3661256874807,41.4880812795921,14.1539,13.78648,1.503254,2.051811,1.831284,0.9742117,1.46669,0.4924784,0.8570719,26.1323297613219
1,1,1,0,1237661059574137345,49.5813214431258,41.8559828364649,15.42837,15.05605,1.491985,2.045612,1.824386,0.9884501,1.449248,0.4607983,0.8359356,26.2924930383117
1,1,1,0,1237661060111204787,50.2412948084998,41.8938503657885,13.70485,13.28549,1.810875,2.32623,2.185272,1.106351,1.73751,0.6311588,1.078921,26.3826411308093
0,0,0,0,1237661083199144392,49.4157859263336,41.3218658826185,21.62369,21.2657,0.4770095,1.363445,0.7966175,0.7394276,1.038317,0.2988892,0.05718994,26.5009117624532
0,0,0,0,1237661083199275188,49.6507692111618,41.1286046001567,15.39939,14.94484,1.059963,1.993343,1.465769,1.059076,1.43905,0.3799734,0.4066925,26.6464584288467
0,0,0,0,1237661055281660113,49.3541037979072,41.4703146193494,18.69994,18.33527,1.606958,1.862398,1.932531,1.06189,1.645077,0.5831871,0.8706417,26.7564890833465
1,1,1,0,1237661055818858633,50.5378202439946,41.4507774213165,15.23594,14.83222,1.439226,2.050936,1.799652,0.9694901,1.443262,0.473772,0.830162,26.8325577888319
1,1,1,0,1237661122387837434,49.3476367817636,41.4700217158527,17.45461,17.09048,1.169713,1.977072,1.494795,0.8442421,1.284954,0.440712,0.6505527,27.0475429410008
0,0,0,0,1237661122387837441,49.3464033206927,41.4657424923315,18.76995,18.40601,0.8141965,3.836075,1.139112,0.6538696,1.100502,0.4466324,0.4852428,27.1293005455619
0,0,0,0,1237661055281595532,49.3470451443591,41.5717732378514,17.96481,17.58808,1.753139,2.030399,2.089478,1.108027,1.702267,0.5942402,0.981451,27.1583050088411
1,1,1,0,1237661059574531029,50.4849246036073,41.2983642796027,16.34046,15.98779,1.27888,1.951904,1.593737,0.8837719,1.274496,0.3907242,0.7099648,27.4350288685665
0,0,0,0,1237661060111139413,50.1299826378577,41.9502979314223,15.12645,14.71684,0.925566,1.835257,1.291257,0.9407415,1.330301,0.3895597,0.3505154,27.4856346313398
0,0,0,0,1237661055281595489,49.3431338946377,41.5986877386009,19.1549,18.7745,1.967844,1.603796,2.307459,1.289614,1.916906,0.6272926,1.017845,27.5814439634828
0,0,0,0,1237661055281661671,49.3329082112614,41.49986624604,18.67215,18.30932,1.094585,1.13596,1.418512,0.7913837,1.235308,0.443924,0.6271286,27.5907806401117
0,0,0,0,1237661055281595548,49.3302491922701,41.5381214191965,18.37996,18.01211,1.036053,1.604383,1.364458,0.7393112,1.128098,0.3887863,0.6251469,27.7313115393708
0,0,0,0,1237661083199079073,49.3507230050711,41.3928173973905,20.76255,20.39924,-0.1742002,1.494719,0.1501503,0.414629,0.5762367,0.1616077,-0.2644787,27.7556832581381
1,1,1,0,1237661060111074083,49.9410884084147,41.9764093259918,14.44186,14.03647,1.54587,2.058765,1.907802,1.00344,1.505374,0.5019341,0.9043617,27.7996946248362
1,1,1,0,1237661083199145715,49.3662785364664,41.3534693634682,19.37865,19.01873,1.108995,1.450548,1.430326,0.7510071,1.186321,0.4353142,0.6793194,27.8106879781056
1,1,1,0,1237661055281659921,49.3255866473826,41.4929009463042,18.41572,18.05405,1.242294,1.662981,1.565184,0.9059849,1.287197,0.3812122,0.6591988,27.9361312559855
0,0,0,0,1237661055281661399,49.3220001635499,41.4891798255857,18.65126,18.29014,1.18126,1.119034,1.503666,0.7779293,1.27861,0.5006809,0.7257366,28.108459756003
0,0,1,-1,1237661083199144313,49.3854255220079,41.3037840839373,20.43471,20.08018,1.223147,1.894552,1.539665,0.5234776,1.23674,0.7132626,1.016188,28.2077956073607
0,0,0,0,1237661055281988048,50.2822057978094,41.1160492772003,18.98148,18.67382,0.3708319,1.426273,0.6455021,0.3472309,0.770319,0.4230881,0.2982712,28.2160110645633
1,1,1,0,1237661083199144302,49.3869972146589,41.296989045752,14.76266,14.40832,1.428403,1.99568,1.744754,0.9391747,1.387076,0.4479017,0.8055792,28.3299307533998
1,1,1,0,1237661083199144302,49.3869972146589,41.296989045752,14.76266,14.40832,1.428403,1.99568,1.744754,0.9391747,1.387076,0.4479017,0.8055792,28.3299307533998
0,0,0,0,1237661083199144307,49.3756882798822,41.3131551961883,16.44724,16.09306,1.04294,1.836525,1.359153,0.8011246,1.150288,0.3491631,0.5580282,28.356741343971
0,0,0,0,1237661083199144825,49.359348013872,41.3355162432555,17.55119,17.19427,1.495949,1.983553,1.814596,0.9707489,1.43388,0.463131,0.8438473,28.4920769561456
0,0,0,0,1237661083199144825,49.359348013872,41.3355162432555,17.55119,17.19427,1.495949,1.983553,1.814596,0.9707489,1.43388,0.463131,0.8438473,28.4920769561456
1,1,1,0,1237661083199079603,49.3236841359998,41.4214466740835,15.46424,15.10162,1.42502,1.90966,1.748759,0.9255457,1.397933,0.4723873,0.8232136,28.5454610534508
1,1,1,0,1237661083199079603,49.3236841359998,41.4214466740835,15.46424,15.10162,1.42502,1.90966,1.748759,0.9255457,1.397933,0.4723873,0.8232136,28.5454610534508
0,0,0,0,1237661055281596063,49.308334403057,41.5094618855484,18.41583,18.05561,1.15547,1.265041,1.477068,0.7762833,1.18924,0.4129562,0.7007847,28.6822218769149
0,0,0,0,1237661083199145514,49.3600256336362,41.3233520267618,19.36025,19.00547,1.275783,1.720154,1.592527,0.8730278,1.310253,0.4372253,0.7194996,28.7472494561856
1,1,1,0,1237661055818858862,50.5802270782083,41.4454066396289,15.22934,14.82012,1.513277,2.067575,1.878614,0.9889984,1.488304,0.4993057,0.889616,28.7662518940905
1,1,1,0,1237661060111270442,50.4645521200175,41.7972508487597,14.96515,14.53317,1.762859,2.201223,2.148524,1.115597,1.709916,0.5943193,1.032928,28.8028382222997
1,1,1,0,1237661055818531808,49.7646076974504,41.9741404391237,14.96885,14.59442,1.459037,2.049974,1.793324,0.9574709,1.457897,0.5004263,0.8358526,28.838548419931
1,1,1,0,1237661083199275476,49.6812283687428,41.0724997416086,13.93868,13.55276,1.573056,2.073194,1.917592,1.001932,1.540995,0.5390625,0.9156599,29.0187151165481
1,1,1,0,1237661055281988793,50.3513890522591,41.1358669686683,16.30981,15.99652,1.276944,1.641029,1.556646,0.8648815,1.262527,0.397645,0.6917648,29.0654845241556
1,1,1,0,1237661083199078963,49.3067191820093,41.4355052201931,14.84952,14.4889,1.390994,1.899044,1.712949,0.9275637,1.3781,0.4505367,0.7853851,29.1446360669801
1,1,1,0,1237661083199078963,49.3067191820093,41.4355052201931,14.84952,14.4889,1.390994,1.899044,1.712949,0.9275637,1.3781,0.4505367,0.7853851,29.1446360669801
0,0,0,0,1237661055281595362,49.3356924370468,41.6862404604867,17.49317,17.12125,0.9346491,1.233128,1.266691,0.6305046,1.057232,0.4267273,0.6361866,29.3169454254055
0,0,0,0,1237661083199144985,49.3664776873557,41.2861431983158,18.3949,18.04214,1.705685,1.877071,2.020618,1.154808,1.620729,0.4659214,0.8658104,29.4511539980159
0,0,0,0,1237661059574531166,50.4370749095024,41.1881314967587,18.36819,18.04255,0.6046111,1.328714,0.8953438,0.5628929,0.7877197,0.2248268,0.3324509,29.4618714257647
1,1,1,0,1237661060111336458,50.5410991979522,41.7273450946203,14.8987,14.48003,1.373976,2.032057,1.747755,0.9474602,1.38022,0.4327602,0.8002949,29.5981560448169
0,0,0,0,1237661083199144802,49.3341940619202,41.330028965925,16.71757,16.36122,1.420195,1.844263,1.738333,0.9127541,1.363832,0.4510784,0.8255787,29.6660668255323
0,0,0,0,1237661083199144802,49.3341940619202,41.330028965925,16.71757,16.36122,1.420195,1.844263,1.738333,0.9127541,1.363832,0.4510784,0.8255787,29.6660668255323
